id,lon,lat,alt,nom,pp_media_anual,hmed_media_anual,tmax_media_anual,tmed_media_anual,tmin_media_anual,cluster
100,-67.07972222,-17.95277778,3702,aeropuerto,364.67225,59.56398522173005,16.33037864001227,7.585918626792116,0.7551943641082685,1
101,-67.50638889,-18.77194444,3762,andamarca,317.82475,47.0460315734414,17.975956034317228,8.991681556116143,1.5023250963923762,0
102,-66.8829,-18.4929,4057,antequera,348.98075,54.83837606313011,16.29235794638443,7.746567193817645,0.9694844763030352,1
104,-66.81388889,-17.83694444,4025,chillca,403.999,59.56398522173005,16.33037864001227,7.585918626792116,0.7551943641082685,1
105,-68.70638889,-18.17777778,3906,cosapa,349.57,45.86569119005686,15.74171303951039,6.439679315476191,-0.781571811768367,4
107,-67.93972222,-17.83555556,3873,huayllamarca,413.6375,50.48370447747276,17.090677049565652,7.808244574218267,0.3546467162036301,3
108,-67.26305556,-18.96833333,3666,orinoca-uto,309.33725,47.0460315734414,17.975956034317228,8.991681556116143,1.5023250963923762,0
109,-67.59916667,-19.275,3712,san-martin,279.6605,42.95437204792141,17.824270489421668,8.473631183899219,0.7613242544626304,0
110,-67.02475,-17.76811111,3802,soracachi,349.9665,59.56398522173005,16.33037864001227,7.585918626792116,0.7551943641082685,1
111,-68.71527778,-19.00777778,3805,todo-santos,295.2635,36.60731958210842,15.839121107999189,6.000458695508237,-1.315855444541554,4
112,-67.406,-18.179,4038,toledo,322.793,56.34312286320117,17.954506559647406,8.621139247311827,1.1627947735137805,1
113,-67.42472222,-19.13027778,3764,ucumasi,310.14725,47.0460315734414,17.975956034317228,8.991681556116143,1.5023250963923762,0
116,-66.77777778,-18.89583333,3733,challapata,417.979,51.55340634015749,16.262529893609745,7.950967759702138,1.271436564215972,1
117,-68.41444444,-17.83888889,3917,curahuara,419.4365,50.48370447747276,17.090677049565652,7.808244574218267,0.3546467162036301,3
118,-67.08,-17.97472,3720,cabania-forestal,364.67225,59.56398522173005,16.33037864001227,7.585918626792116,0.7551943641082685,1
119,-67.6786111111111,-18.3438888888889,3758,corque,335.848,50.72050902253606,18.154316511622262,8.971048163303141,1.4070919912667514,0
120,-68.2572222222222,-18.7872222222222,3746,huachacalla,280.5095,38.63532595956486,19.040819743553243,9.129711941895316,0.9803009946567616,0
121,-68.7872222222222,-18.5677777777778,3845,sacabaya,300.76775,38.25427864530916,17.671066616235855,7.577700410950439,-0.4719446059996115,4
122,-68.0858,-19.0439,3678,chipaya,257.42525,38.63532595956486,19.040819743553243,9.129711941895316,0.9803009946567616,0
123,-67.899,-18.097,3867,choquecota,384.88875,50.48370447747276,17.090677049565652,7.808244574218267,0.3546467162036301,3
124,-67.469,-17.623,3761,eucaliptus,337.3365,64.46227848474716,16.39072549106591,7.784433946613963,1.2188932272079207,1
125,-66.959722,-19.23,3724,quillacas,313.261,51.55340634015749,16.262529893609745,7.950967759702138,1.271436564215972,1
126,-68.369,-18.346,3842,turco,348.5865,42.69343899146097,18.916629805659287,9.037212536692005,0.8027166715773258,0
200,-68.9994,-17.2117,3880,achiri,492.4647500000001,59.57562790926206,16.79328424638487,7.720805833642319,0.7635468751103519,3
201,-68.0083,-17.0942,3888,ayoayo,444.92750000000007,66.88936158700363,15.60740221834887,6.938193370444674,0.2518054357134029,3
202,-69.21416667,-17.28888889,4120,berenguela,403.19875,47.200717197845485,15.368300869903951,5.9021025117745465,-0.9214295083161184,2
203,-68.6356,-17.2806,3826,calacoto,481.5100000000001,51.86549808693962,17.10564579542746,7.649003692153539,0.3352888652184084,3
204,-69.48638889,-17.15861111,4253,catacora,400.1695,52.47702267168548,15.90232976521532,6.865521171396348,0.0553915583562865,2
205,-67.45527778,-17.37694444,3965,conchamarca,399.17125,64.46227848474716,16.39072549106591,7.784433946613963,1.2188932272079207,1
206,-69.25,-17.533,3953,avaroa,293.62525,47.200717197845485,15.368300869903951,5.9021025117745465,-0.9214295083161184,4
